time,open,high,low,close,EMA Fast,EMA Slow,EMA Trend,BB Upper,BB Lower,SAR,FVG Long,Multi-TF FVG Long,Long,Grid Arb,Volume
1760646900,182.3,183.45,182.3,182.85,183.97587956354528,185.1061998928842,187.3177952653523,185.5320000000034,182.34426349978364,185.1588726088712,0,0,0,0,10136.974
1760647200,182.83,182.83,182.08,182.55,183.659017438313,184.83712621994903,187.13082290200515,185.2385000000034,182.08771422581236,184.81580789580667,0,0,0,0,7606.809
1760647500,182.54,183.68,182.54,183.13,183.54145800757678,184.65742872311228,186.97392788624023,184.9765000000034,182.04720469313733,184.44647382987276,0,0,0,0,9922.627
1760647800,183.08,183.63,182.91,183.56,183.5455784503375,184.5419099101531,186.84004836128963,184.7805000000034,182.02824656056927,184.12699986283994,0,0,0,0,6119.934
1760648100,183.53,183.69,182.63,182.85,183.39100546137362,184.36381413013697,186.68357587653318,184.5725000000034,181.89797667895013,183.85065488135655,0,0,0,0,9095.272
1760648400,182.86,183.81,182.84,183.54,183.42411535884614,184.27709685328045,186.56029839117895,184.3815000000034,182.00109436338104,182.08,0,0,0,0,5979.837
1760648700,183.55,184.04,183.12,183.66,183.47653416799145,184.21213928977724,186.446561199368,184.2430000000034,182.03971971940481,182.10595,0,0,0,0,6667.176
1760649000,183.67,184.42,183.45,184.3,183.65952657510445,184.22138778559017,186.36238232880456,184.1695000000034,182.07972991819332,182.1639715,0,0,0,0,7382.19
1760649300,184.31,184.56,183.93,184.2,183.7796317806368,184.21913643973858,186.27758302179262,184.15100000000342,182.06920366153335,182.2654927825,0,0,0,0,3570.431
1760649600,184.19,184.19,183.65,184.17,183.8663802738286,184.213964182924,186.19493270721253,184.0970000000034,182.0769198048363,182.40316321555,0,0,0,0,2209.245
1760649900,184.14,184.37,183.96,184.33,183.96940687964448,184.22617847945833,186.12179809124342,184.03250000000338,182.13222765243952,182.532573422617,0,0,0,0,2557.402
1760650200,184.27,184.81,184.09,184.79,184.15176090639014,184.28552811319955,186.0695707151162,183.96550000000337,182.28385229762435,182.65421901725998,0,0,0,0,6342.51
1760650500,184.78,185.03,184.55,184.75,184.28470292719234,184.3344198907575,186.0178228439352,183.94350000000338,182.31586029942818,182.81590259096546,0,0,0,0,3846.184
1760650800,184.75,185.05,184.57,184.82,184.4036578322607,184.38553358646723,185.97084939907498,183.93800000000337,182.32303746331084,183.01517135777857,0,0,0,0,5148.574
1760651100,184.81,185.33,184.69,185.06,184.5495116473139,184.45653005104964,185.93512981479753,183.92900000000338,182.34138669857657,183.22882836521183,0,0,0,0,4687.825
1760651400,185.08,185.4,184.89,185.27,184.70962017013304,184.54215846672864,185.9090462926486,183.98250000000337,182.29311105872802,183.4809689613864,0,0,0,0,4519.351
1760651700,185.29,185.78,185.26,185.66,184.92081568788126,184.6598259965467,185.89927977136827,184.03350000000336,182.21142124348515,183.74003815159924,0,0,0,0,3015.638
1760652000,185.67,185.99,185.22,185.82,185.12063442390763,184.78194957585757,185.89617076072636,184.09800000000337,182.12509757086517,184.04603242885935,0,0,0,0,3753.613
1760652300,185.83,185.84,185.06,185.07,185.10938232970594,184.8122706731357,185.86377190736454,184.1380000000034,182.120827723062,184.33762756453044,0,0,0,0,2224.833
1760652600,185.06,185.36,184.53,184.58,184.9917418119935,184.7878211285951,185.8134279109973,184.2480000000034,182.3928601144827,185.99,0,0,0,0,6907.21
1760652900,184.59,184.94,184.38,184.57,184.8980214093283,184.76489258874298,185.76466603213464,184.33400000000339,182.5899197280949,185.96810000000002,0,0,0,0,2848.77
1760653200,184.57,184.97,184.57,184.72,184.85846109614423,184.76016705308584,185.7236987367568,184.44250000000338,182.8971861176885,185.92045700000003,0,0,0,0,1533.595
1760653500,184.73,185.1,184.65,184.76,184.8365808525566,184.76014946855048,185.685906629433,184.52400000000338,183.09674529433602,185.87424329000004,0,0,0,0,2507.843
1760653800,184.72,184.88,184.16,184.2,184.69511844087737,184.7011863665978,185.62763578121994,184.5560000000034,183.18921691741872,185.82941599130004,0,0,0,0,5764.369
1760654100,184.19,184.98,184.18,184.73,184.70286989846016,184.70421938064013,185.59243437803485,184.6500000000034,183.5289647664565,185.75429227169153,0,0,0,0,1862.47
1760654400,184.73,184.74,183.93,183.96,184.53778769880236,184.6258804984675,185.52841734360211,184.6710000000034,183.62040207746338,185.68254911946542,0,0,0,0,2048.925
1760654700,183.95,184.02,183.73,183.86,184.38716821017962,184.5452614986288,185.46298921248047,184.6810000000034,183.66587636474358,185.57739617229748,0,0,0,0,3298.623
1760655000,183.87,184.1,183.62,183.63,184.21890860791748,184.44891818298368,185.39110728257927,184.6475000000034,183.5439262621763,185.43884145937517,0,0,0,0,2536.977
1760655300,183.64,183.64,183.13,183.14,183.97915113949136,184.31113732161697,185.30282856561539,184.5945000000034,183.32127614111982,185.27514572803142,0,0,0,0,4329.455
